frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,j00_hip_pitch_l_joint,j01_hip_roll_l_joint,j02_hip_yaw_l_joint,j03_knee_pitch_l_joint,j04_ankle_pitch_l_joint,j05_ankle_roll_l_joint,j06_hip_pitch_r_joint,j07_hip_roll_r_joint,j08_hip_yaw_r_joint,j09_knee_pitch_r_joint,j10_ankle_pitch_r_joint,j11_ankle_roll_r_joint,j12_waist_yaw_joint,j13_shoulder_pitch_l_joint,j14_shoulder_roll_l_joint,j15_shoulder_yaw_l_joint,j16_elbow_pitch_l_joint,j17_elbow_yaw_l_joint,j18_shoulder_pitch_r_joint,j19_shoulder_roll_r_joint,j20_shoulder_yaw_r_joint,j21_elbow_pitch_r_joint,j22_elbow_yaw_r_joint,j23_head_yaw_joint
0,-0.639203,-1.918,0.778723,-0.074067,0.114555,0.466978,0.873683,-0.91718,0.3256,0.352266,0.323869,-0.273399,-0.056517,-0.419146,-0.11763,-0.38472,0.681963,-0.468953,0.080759,0.132044,0.172096,0.543767,0.001479,-1.423816,-0.321461,0.065007,-0.458183,0.385544,-0.911202,0.604454,0.0
1,-0.644707,-1.944196,0.78388,-0.069725,0.128773,0.473487,0.868543,-0.928335,0.317046,0.469065,0.409124,-0.206836,-0.06531,-0.502683,-0.134007,-0.385036,0.718916,-0.442188,0.048503,0.0969,0.161173,0.521125,-0.050089,-1.502582,-0.374552,0.101977,-0.490598,0.354738,-0.835244,0.59097,0.0
2,-0.647953,-1.971028,0.790499,-0.065837,0.137905,0.479456,0.864158,-0.910941,0.297492,0.476235,0.498927,-0.199094,-0.046659,-0.553092,-0.132332,-0.391841,0.716149,-0.415027,0.01077,0.053179,0.161235,0.520586,-0.109594,-1.543937,-0.39885,0.122262,-0.494227,0.320962,-0.734558,0.591316,0.0
3,-0.64876,-1.995094,0.797209,-0.061833,0.136733,0.487099,0.860358,-0.864384,0.280524,0.450923,0.598247,-0.22514,-0.05569,-0.547277,-0.113795,-0.415849,0.665848,-0.388621,-0.021082,0.004182,0.188056,0.538138,-0.172508,-1.571927,-0.401118,0.134918,-0.473539,0.276411,-0.622613,0.57164,0.0
4,-0.647361,-2.01861,0.803464,-0.058106,0.131649,0.496187,0.856207,-0.795664,0.259243,0.412218,0.682322,-0.23222,-0.064362,-0.522613,-0.087138,-0.444695,0.60074,-0.35994,-0.048006,-0.049808,0.223788,0.562477,-0.224524,-1.588843,-0.389233,0.147703,-0.455043,0.240411,-0.5386,0.532439,0.0
5,-0.645333,-2.042293,0.807471,-0.054161,0.125122,0.504635,0.852499,-0.713826,0.234879,0.373909,0.755196,-0.240008,-0.077651,-0.498194,-0.059282,-0.469078,0.540307,-0.336618,-0.067331,-0.098821,0.261558,0.584464,-0.266731,-1.604332,-0.387758,0.174694,-0.452494,0.2236,-0.503749,0.487827,0.0
6,-0.64439,-2.066723,0.80819,-0.051038,0.120078,0.50962,0.850449,-0.633582,0.207901,0.337332,0.825015,-0.247223,-0.110317,-0.490721,-0.033423,-0.482966,0.499884,-0.323944,-0.092011,-0.13733,0.292301,0.597951,-0.30058,-1.618956,-0.414861,0.212704,-0.46875,0.21951,-0.52055,0.460254,0.0
7,-0.644672,-2.091978,0.806875,-0.048937,0.116487,0.51269,0.849226,-0.556366,0.175934,0.304194,0.882865,-0.246266,-0.153267,-0.503866,-0.012139,-0.487387,0.485343,-0.315666,-0.119268,-0.169994,0.310807,0.598845,-0.327548,-1.624674,-0.472796,0.255967,-0.495643,0.21093,-0.575497,0.462953,0.0
8,-0.645465,-2.117445,0.805055,-0.046821,0.113619,0.51634,0.847521,-0.4754,0.144082,0.286145,0.915973,-0.229249,-0.192126,-0.528213,0.003217,-0.491058,0.486613,-0.303189,-0.151701,-0.206206,0.319295,0.583426,-0.345029,-1.613106,-0.551703,0.295378,-0.522097,0.183539,-0.64722,0.485074,0.0
9,-0.647458,-2.141842,0.803691,-0.043032,0.110808,0.521632,0.844849,-0.388318,0.106368,0.271009,0.915459,-0.212355,-0.237965,-0.551809,0.010166,-0.496931,0.489308,-0.285813,-0.180498,-0.250534,0.318115,0.549992,-0.355619,-1.579905,-0.629096,0.324112,-0.536562,0.136451,-0.712012,0.50566,0.0
