frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,j00_hip_pitch_l_joint,j01_hip_roll_l_joint,j02_hip_yaw_l_joint,j03_knee_pitch_l_joint,j04_ankle_pitch_l_joint,j05_ankle_roll_l_joint,j06_hip_pitch_r_joint,j07_hip_roll_r_joint,j08_hip_yaw_r_joint,j09_knee_pitch_r_joint,j10_ankle_pitch_r_joint,j11_ankle_roll_r_joint,j12_waist_yaw_joint,j13_shoulder_pitch_l_joint,j14_shoulder_roll_l_joint,j15_shoulder_yaw_l_joint,j16_elbow_pitch_l_joint,j17_elbow_yaw_l_joint,j18_shoulder_pitch_r_joint,j19_shoulder_roll_r_joint,j20_shoulder_yaw_r_joint,j21_elbow_pitch_r_joint,j22_elbow_yaw_r_joint,j23_head_yaw_joint
0,-2.209206,-1.253731,0.667084,-0.114269,0.239851,0.307827,0.913595,-0.711411,0.450276,-0.275137,1.00261,-0.362412,-0.2618,-1.432739,-0.167959,0.402659,0.970579,-0.194877,0.2618,-0.074018,-0.693817,0.395277,-0.266584,-2.1948,-0.322645,-0.684745,-0.207106,0.086541,-2.1948,0.20322,0.0
1,-2.157341,-1.274866,0.659338,-0.119901,0.22843,0.288494,0.922071,-0.730129,0.543057,-0.284602,1.060911,-0.176007,-0.2618,-1.427858,-0.079102,0.363909,1.1274,-0.306059,0.2618,-0.018336,-0.650223,0.3697,-0.248262,-2.1948,-0.298089,-0.674336,-0.217289,0.10078,-2.1948,0.211569,0.0
2,-2.111244,-1.291186,0.664099,-0.113273,0.234224,0.290071,0.92096,-0.836388,0.591016,-0.24437,1.126608,0.009334,-0.116459,-1.411872,-0.052076,0.33214,1.201405,-0.392499,0.2618,0.012325,-0.610113,0.289944,-0.239707,-2.194536,-0.320023,-0.655653,-0.264046,0.11044,-2.1948,0.207617,0.0
3,-2.074424,-1.300083,0.6733,-0.101828,0.241741,0.311281,0.913398,-0.966945,0.622581,-0.140595,1.208283,-0.021172,0.054139,-1.377323,-0.080635,0.297981,1.228874,-0.46005,0.2618,-0.001928,-0.575394,0.214466,-0.245006,-2.187558,-0.361285,-0.633922,-0.312199,0.116717,-2.1948,0.197083,0.0
4,-2.054269,-1.305834,0.683302,-0.092655,0.253759,0.335432,0.9025,-1.083795,0.494372,-0.147174,1.308634,-0.140244,0.026388,-1.362437,-0.120246,0.273255,1.224132,-0.487006,0.2618,-0.037987,-0.543738,0.159449,-0.257792,-2.179353,-0.374746,-0.622117,-0.345686,0.124485,-2.1948,0.200814,0.0
5,-2.038453,-1.314781,0.690557,-0.086899,0.268362,0.372983,0.88392,-1.214559,0.314768,-0.13977,1.392251,-0.23544,-0.017557,-1.364271,-0.177951,0.231977,1.227621,-0.513815,0.249596,-0.108401,-0.51608,0.135414,-0.275926,-2.175069,-0.373472,-0.6183,-0.354437,0.123461,-2.1948,0.201479,0.0
6,-2.022092,-1.327541,0.693558,-0.087544,0.283131,0.408317,0.863395,-1.338597,0.17991,-0.048178,1.433505,-0.301383,-0.043589,-1.379251,-0.218653,0.179145,1.24749,-0.542253,0.212739,-0.168775,-0.495007,0.138653,-0.295608,-2.174116,-0.383684,-0.61749,-0.344909,0.109804,-2.1948,0.188386,0.0
7,-2.004849,-1.336563,0.694628,-0.092327,0.2912,0.438052,0.845452,-1.418952,0.055623,0.056428,1.419717,-0.345888,-0.090618,-1.372622,-0.248555,0.118329,1.263951,-0.575146,0.17641,-0.205814,-0.467063,0.166952,-0.318606,-2.177287,-0.400464,-0.602157,-0.327813,0.086931,-2.1948,0.184684,0.0
8,-1.985354,-1.338834,0.696373,-0.09746,0.291412,0.458898,0.833662,-1.452503,-0.090795,0.07965,1.350993,-0.359941,-0.207806,-1.327623,-0.26713,0.052628,1.262667,-0.608864,0.148005,-0.222549,-0.424343,0.208305,-0.326998,-2.188902,-0.417642,-0.567265,-0.311586,0.065618,-2.1948,0.180071,0.0
9,-1.973551,-1.336382,0.694912,-0.104612,0.293538,0.461201,0.830774,-1.483939,-0.243616,0.010788,1.271305,-0.364771,-0.261798,-1.309635,-0.256926,0.023009,1.266142,-0.628686,0.132316,-0.199541,-0.4064,0.237616,-0.324754,-2.19043,-0.423932,-0.535021,-0.313487,0.046361,-2.1948,0.17516,0.0
10,-1.947138,-1.340117,0.694878,-0.108744,0.295811,0.458738,0.830801,-1.486751,-0.306017,-0.075824,1.203376,-0.357116,-0.238697,-1.281535,-0.234528,-0.027437,1.274457,-0.650092,0.104138,-0.169231,-0.398157,0.255239,-0.308787,-2.18915,-0.410927,-0.495815,-0.330807,0.033839,-2.1948,0.165684,0.0
11,-1.928102,-1.339303,0.691317,-0.113906,0.293696,0.444269,0.838685,-1.475591,-0.269611,-0.081994,1.21092,-0.394488,-0.087071,-1.275769,-0.204883,-0.057977,1.309922,-0.637984,0.080158,-0.112227,-0.394711,0.258514,-0.282612,-2.185282,-0.395178,-0.453172,-0.357596,0.023549,-2.1948,0.164361,0.0
