frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,j00_hip_pitch_l_joint,j01_hip_roll_l_joint,j02_hip_yaw_l_joint,j03_knee_pitch_l_joint,j04_ankle_pitch_l_joint,j05_ankle_roll_l_joint,j06_hip_pitch_r_joint,j07_hip_roll_r_joint,j08_hip_yaw_r_joint,j09_knee_pitch_r_joint,j10_ankle_pitch_r_joint,j11_ankle_roll_r_joint,j12_waist_yaw_joint,j13_shoulder_pitch_l_joint,j14_shoulder_roll_l_joint,j15_shoulder_yaw_l_joint,j16_elbow_pitch_l_joint,j17_elbow_yaw_l_joint,j18_shoulder_pitch_r_joint,j19_shoulder_roll_r_joint,j20_shoulder_yaw_r_joint,j21_elbow_pitch_r_joint,j22_elbow_yaw_r_joint,j23_head_yaw_joint
0,1.278176,0.336007,0.770187,0.138787,0.159762,-0.76716,0.605541,-0.904285,0.356634,-0.04892,0.96752,-0.341883,-0.2618,-1.039938,-0.360849,-0.051086,0.94956,-0.19841,0.2618,-0.006527,-0.076071,0.243314,-0.186735,-2.156372,0.498198,-0.141072,0.040646,0.160993,-2.043663,0.261373,0.0
1,1.282631,0.331912,0.754925,0.140914,0.143433,-0.758554,0.619811,-0.854115,0.319912,-0.034719,0.967193,-0.463667,-0.2618,-0.976131,-0.506795,-0.031894,0.941787,-0.168789,0.2618,-0.045727,-0.06151,0.242326,-0.1808,-2.15995,0.514404,-0.113887,0.033549,0.147397,-2.058057,0.268556,0.0
2,1.270096,0.336799,0.739496,0.139673,0.127636,-0.74814,0.635993,-0.870646,0.313005,-0.049482,1.013163,-0.49843,-0.2618,-0.88034,-0.619209,-0.062877,0.945346,-0.158315,0.090627,-0.094916,-0.057751,0.228459,-0.177451,-2.146612,0.529086,-0.076613,0.023081,0.148107,-2.079911,0.258222,0.0
3,1.251353,0.35102,0.722785,0.146145,0.120903,-0.747958,0.636069,-0.907304,0.332564,-0.048364,1.041257,-0.534165,-0.2618,-0.849963,-0.702116,-0.123667,0.970824,-0.149821,-0.004428,-0.112953,-0.078647,0.204342,-0.176122,-2.137054,0.540402,-0.078025,0.013209,0.157219,-2.087151,0.253243,0.0
4,1.229466,0.36552,0.709863,0.151947,0.11262,-0.759798,0.622041,-0.912406,0.363561,-0.045338,1.048326,-0.5514,-0.2618,-0.84358,-0.728817,-0.133969,0.983027,-0.091029,0.001799,-0.101982,-0.093098,0.168435,-0.170628,-2.137493,0.557098,-0.077071,-0.003217,0.177841,-2.092529,0.243999,0.0
5,1.194036,0.396883,0.708171,0.157326,0.114284,-0.789044,0.58275,-0.92872,0.458015,-0.018558,1.016757,-0.473836,-0.2618,-0.822113,-0.67938,-0.200038,0.926128,-0.192832,0.2618,-0.034619,-0.112098,0.139399,-0.162727,-2.152637,0.573817,-0.070644,-0.020402,0.205674,-2.108759,0.193774,0.0
6,1.154115,0.422421,0.715281,0.154114,0.118667,-0.813336,0.548317,-0.885147,0.557785,0.01265,0.921091,-0.352299,-0.2618,-0.803768,-0.568244,-0.211382,0.895084,-0.32569,0.2618,0.031729,-0.113898,0.14114,-0.163997,-2.187734,0.576602,-0.061845,-0.036218,0.230811,-2.119927,0.17193,0.0
7,1.116285,0.424654,0.723288,0.146116,0.114986,-0.828236,0.528634,-0.771359,0.619991,0.057822,0.821823,-0.223971,-0.2618,-0.794675,-0.50562,-0.194509,0.934446,-0.349103,0.2618,0.074525,-0.106806,0.143842,-0.17163,-2.1948,0.567794,-0.046569,-0.075106,0.263984,-2.122444,0.188381,0.0
8,1.071574,0.428712,0.731516,0.14038,0.117317,-0.844572,0.503218,-0.66876,0.704988,0.165641,0.741413,-0.073636,-0.2618,-0.783724,-0.424285,-0.200098,0.967368,-0.369717,0.2618,0.127509,-0.09403,0.138362,-0.179454,-2.1948,0.555303,-0.031203,-0.138732,0.301637,-2.141365,0.191157,0.0
9,1.019527,0.435885,0.745229,0.13273,0.121799,-0.847026,0.500094,-0.64786,0.756572,0.255107,0.696787,0.049452,-0.116033,-0.677668,-0.338871,-0.274745,0.925743,-0.411092,0.2618,0.139426,-0.080373,0.147287,-0.195174,-2.1948,0.528511,-0.001097,-0.196838,0.323694,-2.164048,0.202918,0.0
10,1.000748,0.431966,0.769752,0.130262,0.119075,-0.833586,0.523438,-0.709146,0.635437,0.129222,0.735169,0.023238,-0.252997,-0.575553,-0.325866,-0.363088,0.835718,-0.310804,0.2618,0.108075,-0.05642,0.168808,-0.227272,-2.1948,0.506221,0.048128,-0.242177,0.33144,-2.16501,0.236287,0.0
11,0.989159,0.423069,0.795337,0.131498,0.116666,-0.810698,0.55845,-0.769521,0.507792,0.131222,0.813869,-0.021983,-0.2618,-0.525882,-0.335449,-0.421379,0.796054,-0.116122,0.258711,0.055329,-0.023299,0.195465,-0.263385,-2.1948,0.495988,0.091116,-0.277619,0.328139,-2.154774,0.284152,0.0
12,0.974011,0.419454,0.815192,0.12935,0.12182,-0.78884,0.588353,-0.809051,0.388814,0.136704,0.879912,-0.066475,-0.2618,-0.550782,-0.332367,-0.420948,0.834636,0.095899,0.22476,0.01287,0.010517,0.224373,-0.290416,-2.1948,0.454452,0.107123,-0.287326,0.323744,-2.133106,0.320296,0.0
13,0.967627,0.414569,0.829275,0.125716,0.125523,-0.769217,0.613795,-0.805307,0.240872,0.121503,0.916915,-0.098047,-0.2618,-0.612916,-0.352089,-0.379564,0.920743,0.239656,0.231345,-0.029058,0.055137,0.251774,-0.306725,-2.1948,0.427897,0.115566,-0.276807,0.324521,-2.096889,0.332763,0.0
14,0.951779,0.405458,0.833325,0.121608,0.126944,-0.76063,0.624931,-0.75845,0.09494,0.052548,0.925127,-0.12795,-0.2618,-0.684442,-0.34913,-0.300729,1.018624,0.238751,0.162404,-0.048336,0.096451,0.269992,-0.315339,-2.193454,0.430888,0.128319,-0.259353,0.326507,-2.066277,0.336503,0.0
15,0.920483,0.399456,0.830235,0.118805,0.127889,-0.756162,0.630673,-0.709914,0.033961,0.052502,0.927698,-0.105163,-0.2618,-0.749727,-0.332303,-0.24371,1.085981,0.134682,0.176919,-0.066113,0.120827,0.272364,-0.311549,-2.175359,0.399648,0.140896,-0.240145,0.325909,-2.049453,0.347013,0.0
16,0.862336,0.395252,0.821913,0.115625,0.135147,-0.759704,0.625472,-0.660461,0.03449,0.028382,0.896211,-0.113745,-0.223783,-0.796766,-0.3009,-0.273518,1.100819,0.011844,0.128595,-0.068047,0.137372,0.272509,-0.296844,-2.159125,0.381728,0.14219,-0.201499,0.330259,-2.045184,0.354149,0.0
17,0.832775,0.393467,0.8048,0.113579,0.141299,-0.761028,0.622872,-0.590555,0.083956,0.121073,0.837089,-0.298666,-0.007267,-0.872442,-0.310127,-0.277759,1.074292,-0.091493,0.113733,-0.079794,0.154266,0.272667,-0.275953,-2.155731,0.399672,0.136332,-0.154791,0.327886,-2.045647,0.328282,0.0
18,0.809633,0.390891,0.786257,0.11734,0.143367,-0.766129,0.615405,-0.567395,0.116963,0.134347,0.842138,-0.453046,-0.026896,-0.966936,-0.325072,-0.260297,1.005761,-0.145324,0.11258,-0.087367,0.150101,0.250146,-0.2592,-2.160832,0.407874,0.126467,-0.121348,0.323907,-2.062036,0.288341,0.0
19,0.785426,0.383114,0.765908,0.115609,0.146206,-0.770808,0.609191,-0.579157,0.167732,0.120162,0.917351,-0.554983,-0.075745,-1.036134,-0.318836,-0.244218,0.919149,-0.173793,0.097228,-0.08994,0.145748,0.241339,-0.245895,-2.177764,0.429075,0.133816,-0.083356,0.31286,-2.085997,0.231771,0.0
20,0.761076,0.375191,0.748696,0.11757,0.152267,-0.772071,0.605722,-0.613237,0.223241,0.108991,0.99565,-0.607619,-0.116927,-1.102768,-0.300891,-0.238715,0.829468,-0.145505,0.092462,-0.088167,0.121691,0.242533,-0.24009,-2.194591,0.450723,0.1352,-0.05091,0.30383,-2.099223,0.184059,0.0
21,0.737504,0.36789,0.734728,0.124645,0.157524,-0.776417,0.59735,-0.619741,0.268277,0.11506,1.022212,-0.659244,-0.16174,-1.179532,-0.278225,-0.249597,0.766057,-0.079121,0.095894,-0.072337,0.078085,0.240798,-0.244537,-2.1948,0.458454,0.118409,-0.044555,0.312333,-2.097965,0.14829,0.0
22,0.71452,0.362112,0.726267,0.139766,0.157971,-0.784629,0.582982,-0.586096,0.290756,0.156217,0.980602,-0.6807,-0.205124,-1.261628,-0.263674,-0.284989,0.74315,-0.002174,0.014084,-0.05138,0.037059,0.236044,-0.251427,-2.1948,0.450603,0.087509,-0.070711,0.335735,-2.096535,0.137429,0.0
23,0.688107,0.349934,0.720353,0.154439,0.153582,-0.792002,0.570345,-0.530287,0.303487,0.202895,0.930459,-0.6807,-0.244305,-1.323224,-0.249769,-0.258686,0.821386,0.009218,-0.019803,-0.0417,0.020911,0.238734,-0.259673,-2.1948,0.462625,0.065187,-0.104885,0.357056,-2.100904,0.164661,0.0
24,0.658586,0.326195,0.715039,0.156832,0.14743,-0.799481,0.560802,-0.465069,0.321436,0.206426,0.920141,-0.644654,-0.2618,-1.344523,-0.239803,-0.22319,0.941967,-0.089982,-0.01941,-0.035543,0.034486,0.272225,-0.262846,-2.1948,0.460452,0.064746,-0.113752,0.370048,-2.093969,0.175578,0.0
25,0.625331,0.300279,0.718593,0.156984,0.141393,-0.806787,0.551778,-0.450208,0.341157,0.158359,0.954885,-0.450882,-0.2618,-1.313107,-0.215415,-0.207726,1.001349,-0.159422,-0.028699,-0.039793,0.04926,0.315549,-0.259219,-2.1948,0.429475,0.049212,-0.113189,0.384976,-2.066907,0.172599,0.0
26,0.57942,0.275472,0.724155,0.155537,0.132549,-0.819824,0.534909,-0.462731,0.367091,0.09881,1.022014,-0.188243,-0.261753,-1.249695,-0.173032,-0.213065,1.046923,-0.251455,-0.038159,-0.02618,0.060746,0.346006,-0.253196,-2.1948,0.427963,0.03755,-0.115963,0.391904,-2.026441,0.212396,0.0
